name,brand,price,rating,search_input
girls 3-pcs ankle length socks,Bodycare,270,0.0,Socks
pack 4 ankle length socks,HRX by Hrithik Roshan,309,4.4,Socks
men pack 6 socks,Dollar Socks,299,4.0,Socks
pack 3 cotton socks,Peter England,399,4.5,Socks
women set 3 socks,HRX by Hrithik Roshan,223,4.5,Socks
men pack 3 socks,Mast & Harbour,233,5.0,Socks
men pack 3 patterned socks,Ajile by Pantaloons,349,4.4,Socks
men pack 4 shoeliners,Mast & Harbour,252,4.1,Socks
women 3-pcs shoe liner socks,N2S NEXT2SKIN,360,0.0,Socks
men pack 4 socks,HRX by Hrithik Roshan,309,4.4,Socks
unisex pack 3 shoe liners,Dynamocks,334,4.1,Socks
men pack 3 solid socks,ADIDAS,391,4.3,Socks
kids 3-pcs shoe liner socks,Yellow Bee,279,0.0,Socks
women pack 2 toe socks,Jockey,299,4.5,Socks
men pack 4 shoeliners,Mast & Harbour,263,4.2,Socks
3-pcs ankle-length socks,HRX by Hrithik Roshan,307,4.6,Socks
pack 3 ankle-length socks,DressBerry,265,4.6,Socks
men pack-3  calf-length socks,Allen Solly,479,4.5,Socks
men pack 2 solid show socks,Jockey,239,4.4,Socks
infant girls 4-pcs socks,Marks & Spencer,499,4.0,Socks
men training socks,HRX by Hrithik Roshan,265,4.4,Socks
pack 4 ankle length socks,Bonjour,378,4.6,Socks
men slim fit denim shorts,The Indian Garage Co,629,4.2,Shorts men
men regular fit sweatshorts,H&M,799,4.4,Shorts men
men cotton cargo shorts,Reslag,659,3.7,Shorts men
men regular fit sweatshorts,H&M,799,4.3,Shorts men
men loose fit cotton shorts,HIGHLANDER,472,4.1,Shorts men
men cotton cargo shorts,Reslag,659,3.8,Shorts men
men camouflage slim fit cargo shorts,Dennis Lingo,749,4.4,Shorts men
men mid rise linen shorts,Reslag,509,3.9,Shorts men
men slim fit chino shorts,The Indian Garage Co,591,4.3,Shorts men
men running sports shorts,Dpassion,479,4.2,Shorts men
regular fit sweatshirt shorts,H&M,649,4.5,Shorts men
men cotton cargo shorts,V-Mart,474,0.0,Shorts men
men printed lounge shorts,Van Heusen,747,4.5,Shorts men
men printed cotton shorts,The Souled Store,399,4.5,Shorts men
men running shorts,Dpassion,449,4.1,Shorts men
men solid shorts,HRX by Hrithik Roshan,449,4.1,Shorts men
men regular fit sweatshorts,H&M,799,0.0,Shorts men
men running sports shorts,Slazenger,999,4.1,Shorts men
men sports shorts,Shiv Naresh,620,3.3,Shorts men
men mid-rise linen shorts,Reslag,509,3.9,Shorts men
men lifestyle shorts,HRX by Hrithik Roshan,479,4.6,Shorts men
men pack 2 shorts,Jockey,799,4.0,Shorts men
men mid-rise shorts,U.S. Polo Assn.,764,4.5,Shorts men
men knit cargo shorts,Mast & Harbour,607,0.0,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,741,4.8,Shorts men
men active interlock sustainable shorts,Puma,773,4.3,Shorts men
men slim fit chino shorts,HERE&NOW,697,4.5,Shorts men
men printed detail shorts,HRX by Hrithik Roshan,369,4.1,Shorts men
men slim fit denim shorts,The Indian Garage Co,629,4.3,Shorts men
men running sports shorts,Dpassion,479,4.3,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,399,4.2,Shorts men
cotton printed lounge shorts,UnderJeans by Spykar,839,4.6,Shorts men
men rapid-dry training shorts,HRX by Hrithik Roshan,629,4.5,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,635,0.0,Shorts men
men cargo shorts,People,999,0.0,Shorts men
men cargo shorts,Reslag,659,3.7,Shorts men
solid regular shorts,Roadster,778,4.1,Shorts men
men printed lounge shorts,The Indian Garage Co,402,4.0,Shorts men
men slim fit cargo shorts,The Indian Garage Co,532,4.5,Shorts men
men regular fit sports shorts,HRX by Hrithik Roshan,584,4.1,Shorts men
men regular fit casual shorts,HRX by Hrithik Roshan,423,4.2,Shorts men
men mid-rise training gym sports sustainable shorts,Puma,749,4.4,Shorts men
men slim fit regular shorts,HIGHLANDER,724,4.3,Shorts men
men running sports shorts,HRX by Hrithik Roshan,899,4.4,Shorts men
men running sports shorts,HRX by Hrithik Roshan,584,4.0,Shorts men
men lifestyle shorts,HRX by Hrithik Roshan,699,4.0,Shorts men
men slim fit shorts,HIGHLANDER,724,4.2,Shorts men
men mid rise lounge shorts,max,499,0.0,Shorts men
men mid-rise shorts,Snitch,935,5.0,Shorts men
men washed slim fit denim shorts,The Indian Garage Co,629,4.2,Shorts men
men slim fit cotton shorts,BYFORD by Pantaloons,999,0.0,Shorts men
men slim fit mid-rise regular shorts,HIGHLANDER,398,4.2,Shorts men
men slim fit shorts,Thomas Scott,899,4.5,Shorts men
men mid rise denim shorts,Flying Machine,1079,4.3,Shorts men
men cotton shorts,Roadster,713,4.7,Shorts men
men washed denim shorts,Flying Machine,1079,4.4,Shorts men
men cargo shorts,Mast & Harbour,607,5.0,Shorts men
men essentials sports sustainable shorts,Puma,899,4.4,Shorts men
men outdoor cotton shorts,Campus Sutra,854,4.2,Shorts men
men mid-rise slim fit shorts,Snitch,935,4.2,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,587,3.5,Shorts men
